l2_size,bw(GB/s)
1,72.7023
2,72.1062
3,71.4735
4,71.4967
5,71.1648
6,70.8732
7,70.8155
8,70.5153
9,70.7067
10,70.4227
11,70.3863
12,70.3887
13,70.2788
14,70.1596
15,70.1676
16,70.2521
17,70.4527
18,70.2051
19,69.5741
20,68.9455
21,68.8048
22,68.7791
23,68.8431
24,68.925
25,68.6631
26,68.8119
27,68.566
28,68.4705
29,68.2563
30,68.0431
31,67.6565
32,67.3308
33,63.115
34,63.0056
35,64.89
36,63.9897
37,63.1201
38,63.057
39,62.8612
40,60.5444
41,56.6482
42,54.6763
43,55.5334
44,55.661
45,56.2703
46,54.3045
47,54.585
48,53.7578
49,53.6964
50,53.4918
51,53.6527
52,55.8171
53,55.8607
54,55.5816
55,53.8173
56,57.4291
57,54.704
58,55.5148
59,55.0978
