offset(byte),latency(cycle)
0,43
4,49
8,49
12,49
16,43
20,49
24,49
28,49
32,43
36,49
40,49
44,49
48,43
52,49
56,49
60,49
64,43
68,49
72,49
76,49
80,43
84,49
88,49
92,49
96,43
100,49
104,49
108,49
112,43
116,49
120,49
124,49
128,43
132,49
136,49
140,49
144,43
148,49
152,49
156,49
160,43
164,49
168,49
172,49
176,43
180,49
184,49
188,49
192,43
196,49
200,49
204,49
208,43
212,49
216,49
220,49
224,43
228,49
232,49
236,49
240,43
244,49
248,49
252,49
256,43
260,49
264,49
268,49
272,43
276,49
280,49
284,49
288,43
292,49
296,49
300,49
304,43
308,49
312,49
316,49
320,43
324,49
328,49
332,49
336,43
340,49
344,49
348,49
352,43
356,49
360,49
364,49
368,43
372,49
376,49
380,49
384,43
388,49
392,49
396,49
400,43
404,49
408,49
412,49
416,43
420,49
424,49
428,49
432,43
436,49
440,49
444,49
448,43
452,49
456,49
460,49
464,43
468,49
472,49
476,49
480,43
484,49
488,49
492,49
496,43
500,49
504,49
508,49
512,43
516,49
520,49
524,49
528,43
532,49
536,49
540,49
544,43
548,49
552,49
556,49
560,43
564,49
568,49
572,49
576,43
580,49
584,49
588,49
592,43
596,49
600,49
604,49
608,43
612,49
616,49
620,49
624,43
628,49
632,49
636,49
640,43
644,49
648,49
652,49
656,43
660,49
664,49
668,49
672,43
676,49
680,49
684,49
688,43
692,49
696,49
700,49
704,43
708,49
712,49
716,49
720,43
724,49
728,49
732,49
736,43
740,49
744,49
748,49
752,43
756,49
760,49
764,49
768,43
772,49
776,49
780,49
784,43
788,49
792,49
796,49
800,43
804,49
808,49
812,49
816,43
820,49
824,49
828,49
832,43
836,49
840,49
844,49
848,43
852,49
856,49
860,49
864,43
868,49
872,49
876,49
880,43
884,49
888,49
892,49
896,43
900,49
904,49
908,49
912,43
916,49
920,49
924,49
928,43
932,49
936,49
940,49
944,43
948,49
952,49
956,49
960,43
964,49
968,49
972,49
976,43
980,49
984,49
988,49
992,43
996,49
1000,49
1004,49
1008,43
1012,49
1016,49
1020,49
1024,43
1028,49
1032,49
1036,49
1040,43
1044,49
1048,49
1052,49
1056,43
1060,49
1064,49
1068,49
1072,43
1076,49
1080,49
1084,49
1088,43
1092,49
1096,49
1100,49
1104,43
1108,49
1112,49
1116,49
1120,43
1124,49
1128,49
1132,49
1136,43
1140,49
1144,49
1148,49
1152,43
1156,49
1160,49
1164,49
1168,43
1172,49
1176,49
1180,49
1184,43
1188,49
1192,49
1196,49
1200,43
1204,49
1208,49
1212,49
1216,43
1220,49
1224,49
1228,49
1232,43
1236,49
1240,49
1244,49
1248,43
1252,49
1256,49
1260,49
1264,43
1268,49
1272,49
1276,49
1280,43
1284,49
1288,49
1292,49
1296,43
1300,49
1304,49
1308,49
1312,43
1316,49
1320,49
1324,49
1328,43
1332,49
1336,49
1340,49
1344,43
1348,49
1352,49
1356,49
1360,43
1364,49
1368,49
1372,49
1376,43
1380,49
1384,49
1388,49
1392,43
1396,49
1400,49
1404,49
1408,43
1412,49
1416,49
1420,49
1424,43
1428,49
1432,49
1436,49
1440,43
1444,49
1448,49
1452,49
1456,43
1460,49
1464,49
1468,49
1472,43
1476,49
1480,49
1484,49
1488,43
1492,49
1496,49
1500,49
1504,43
1508,49
1512,49
1516,49
1520,43
1524,49
1528,49
1532,49
1536,43
1540,49
1544,49
1548,49
1552,43
1556,49
1560,49
1564,49
1568,43
1572,49
1576,49
1580,49
1584,43
1588,49
1592,49
1596,49
1600,43
1604,49
1608,49
1612,49
1616,43
1620,49
1624,49
1628,49
1632,43
1636,49
1640,49
1644,49
1648,43
1652,49
1656,49
1660,49
1664,43
1668,49
1672,49
1676,49
1680,43
1684,49
1688,49
1692,49
1696,43
1700,49
1704,49
1708,49
1712,43
1716,49
1720,49
1724,49
1728,43
1732,49
1736,49
1740,49
1744,43
1748,49
1752,49
1756,49
1760,43
1764,49
1768,49
1772,49
1776,43
1780,49
1784,49
1788,49
1792,43
1796,49
1800,49
1804,49
1808,43
1812,49
1816,49
1820,49
1824,43
1828,49
1832,49
1836,49
1840,43
1844,49
1848,49
1852,49
1856,43
1860,49
1864,49
1868,49
1872,43
1876,49
1880,49
1884,49
1888,43
1892,49
1896,49
1900,49
1904,43
1908,49
1912,49
1916,49
1920,43
1924,49
1928,49
1932,49
1936,43
1940,49
1944,49
1948,49
1952,43
1956,49
1960,49
1964,49
